x,y,thickness
0.390519716,0.491128588,3.18E-08
0.269589391,0.445709631,3.18E-08
0.242751441,0.45167776,3.18E-08
0.202684762,0.319901247,3.18E-08
0.20563052,0.605387454,3.18E-08
0.186436,0.6199632,3.18E-08
0.18901892,0.596599054,3.18E-08
0.43597686,0.520515781,3.18E-08
0.83613254,0.688444121,3.18E-08
0.844301443,0.712936271,3.18E-08
0.02261873,0.199733999,3.18E-08
0.045607842,0.213006769,3.18E-08
0.279679368,0.167692102,3.18E-08
0.30508575,0.15669895,3.18E-08
0.302647318,0.183878252,3.18E-08
0.204998757,0.34883646,3.18E-08
0.182440718,0.335784238,3.18E-08
0.493169257,0.789370015,3.18E-08
0.47256065,0.79985235,3.18E-08
0.477935607,0.778365465,3.18E-08
0.764142776,0.553407884,3.18E-08
0.7919847,0.54806215,3.18E-08
0.271617662,0.643489259,3.18E-08
0.2520442,0.65662175,3.18E-08
0.255285462,0.634199209,3.18E-08
0.239176509,0.624026793,3.18E-08
0.2193798,0.63804165,3.18E-08
0.222844309,0.614736743,3.18E-08
0.620927861,0.84887835,3.18E-08
0.604115568,0.874108026,3.18E-08
0.595017893,0.853000723,3.18E-08
0.160832285,0.353746131,3.18E-08
0.417034346,0.265948669,3.18E-08
0.391902645,0.275474401,3.18E-08
0.022989112,0.30527371,3.18E-08
0,0.29200094,3.18E-08
0.022989112,0.27872817,3.18E-08
0.549109453,0.367572927,3.18E-08
0.5748655,0.3588004,3.18E-08
0.570966153,0.385225927,3.18E-08
0.225427229,0.591372596,3.18E-08
0.5332476,0.8442071,3.18E-08
0.543704293,0.828601726,3.18E-08
0.336460285,0.682537726,3.18E-08
0.35676647,0.670645363,3.18E-08
0.299612033,0.498540571,3.18E-08
0.276322267,0.515242054,3.18E-08
0.278791971,0.488712712,3.18E-08
0.256426418,0.485171149,3.18E-08
0.279716184,0.468469666,3.18E-08
0.323297426,0.482283221,3.18E-08
0.687511688,0.841109087,3.18E-08
0.693744757,0.866918329,3.18E-08
0.668692102,0.860356845,3.18E-08
0.321397954,0.450723125,3.18E-08
0.342613643,0.460995117,3.18E-08
0.233063274,0.361875059,3.18E-08
0.027744846,0.062561289,3.18E-08
0.0229997,0.03172079,3.18E-08
0.023202079,0.465196445,3.18E-08
0,0.45127418,3.18E-08
0.023202079,0.438650905,3.18E-08
0.301800864,0.666413095,3.18E-08
0.2844038,0.67570985,3.18E-08
0.285773464,0.656615045,3.18E-08
0.171629969,0.587544621,3.18E-08
0.1532128,0.6023864,3.18E-08
0.155018369,0.578756221,3.18E-08
0.44171235,0.2554351,3.18E-08
0.439608596,0.282674569,3.18E-08
0.679923827,0.474812837,3.18E-08
0.70514845,0.46576615,3.18E-08
0.736899383,0.688805642,3.18E-08
0.706204408,0.681104378,3.18E-08
